# angle (deg), sin(angle) * angle / 8
-2.878797996661101593e+02,-6.166393284732147873e-01
-2.863772954924874625e+02,-6.124458087139912355e-01
-2.848747913188647658e+02,-7.432215627440024175e-01
-2.833722871452420691e+02,-6.999455524409099461e-01
-2.818697829716193723e+02,-6.937583375452853751e-01
-2.803672787979966756e+02,-6.861592291934865973e-01
-2.788647746243739789e+02,-6.959538458117087156e-01
-2.773622704507512822e+02,-7.272349453869029201e-01
-2.758597662771285854e+02,-7.114071828240520201e-01
-2.743572621035058319e+02,-6.312484166669065644e-01
-2.728547579298831351e+02,-6.050405561783591679e-01
-2.713522537562604384e+02,-6.342688925124009280e-01
-2.698497495826377417e+02,-7.636572813737907417e-01
-2.683472454090150450e+02,-5.882351189671737313e-01
-2.668447412353923482e+02,-7.258753455544548761e-01
-2.653422370617696515e+02,-7.174883287870477133e-01
-2.638397328881469548e+02,-7.476602250087962531e-01
-2.623372287145242012e+02,-7.279057655191363274e-01
-2.608347245409015045e+02,-6.147630620391730805e-01
-2.593322203672787509e+02,-6.071555252131122238e-01
-2.578297161936560542e+02,-5.989459452240113446e-01
-2.563272120200333575e+02,-6.095870745199203355e-01
-2.548247078464106892e+02,-7.114032557934955037e-01
-2.533222036727879640e+02,-6.130222110598180230e-01
-2.518196994991652673e+02,-5.617649452200761395e-01
-2.503171953255425706e+02,-6.678331489954254518e-01
-2.488146911519198738e+02,-6.979781048753601613e-01
-2.473121869782971771e+02,-5.392677579318099212e-01
-2.458096828046744804e+02,-5.634248962657890658e-01
-2.443071786310517837e+02,-4.873152319882953498e-01
-2.428046744574290869e+02,-5.199029424361867324e-01
-2.413021702838063618e+02,-5.290116285848380784e-01
-2.397996661101836651e+02,-5.525490967740140924e-01
-2.382971619365609683e+02,-5.273793443436678441e-01
-2.367946577629382716e+02,-4.590402801346389894e-01
-2.352921535893155180e+02,-4.545876265435150332e-01
-2.337896494156928213e+02,-4.721076871553368526e-01
-2.322871452420701246e+02,-5.847008582881167982e-01
-2.307846410684474279e+02,-4.319487085899604284e-01
-2.292821368948247311e+02,-4.807577726391634165e-01
-2.277796327212020060e+02,-5.458308299874532477e-01
-2.262771285475792808e+02,-4.069404259485402964e-01
-2.247746243739565841e+02,-5.053583263757901456e-01
-2.232721202003338874e+02,-3.359605028335733712e-01
-2.217696160267111907e+02,-5.107808241599479659e-01
-2.202671118530884939e+02,-4.339300427093184531e-01
-2.187646076794657972e+02,-4.477914602478010875e-01
-2.172621035058430721e+02,-4.176051947123797237e-01
-2.157595993322203753e+02,-3.012584282272252612e-01
-2.142570951585976786e+02,-2.893332598895801411e-01
-2.127545909849749535e+02,-2.662509448758825226e-01
-2.112520868113522567e+02,-3.260966871689711111e-01
-2.097495826377295600e+02,-2.823811296006411009e-01
-2.082470784641068349e+02,-3.299528850431889260e-01
-2.067445742904841381e+02,-3.545188830330233687e-01
-2.052420701168614414e+02,-3.756772862574965233e-01
-2.037395659432387447e+02,-3.211669936741115006e-01
-2.022370617696160480e+02,-2.987049302446813104e-01
-2.007345575959933512e+02,-2.111114892853982461e-01
-1.992320534223706261e+02,-3.191921783239602961e-01
-1.977295492487479009e+02,-1.469092436283826464e-01
-1.962270450751252042e+02,-1.997506251649673881e-01
-1.947245409015025075e+02,-2.287352138062972162e-01
-1.932220367278798108e+02,-2.401489818077400251e-01
-1.917195325542571140e+02,-1.686308631937933900e-01
-1.902170283806343889e+02,-1.373591684673943492e-01
-1.887145242070116922e+02,-1.813099227569735516e-01
-1.872120200333889954e+02,-1.456778381780669263e-01
-1.857095158597662987e+02,-2.267069316516757138e-01
-1.842070116861435736e+02,-3.343630953227275104e-02
-1.827045075125208768e+02,-1.882063746497219525e-01
-1.812020033388981517e+02,-2.032621934630160498e-01
-1.796994991652754550e+02,-1.255437769168309126e-01
-1.781969949916527582e+02,-1.286461150166348377e-01
-1.766944908180300615e+02,1.664258039290758551e-02
-1.751919866444073648e+02,-1.377772313831526207e-01
-1.736894824707846681e+02,-1.096405336059176477e-01
-1.721869782971619429e+02,1.082825578293339364e-02
-1.706844741235392462e+02,-8.239384305974456479e-02
-1.691819699499165210e+02,4.866681361109814752e-02
-1.676794657762938243e+02,-4.337828425952983125e-03
-1.661769616026711276e+02,7.777051843904742023e-02
-1.646744574290484309e+02,8.023174965986978879e-02
-1.631719532554257341e+02,-7.131696611557905574e-02
-1.616694490818030090e+02,4.144656183736408761e-02
-1.601669449081803123e+02,-6.959235320959222815e-02
-1.586644407345576155e+02,-6.690452975135274816e-02
-1.571619365609348904e+02,9.702115730397081750e-02
-1.556594323873121937e+02,7.165380962238432350e-02
-1.541569282136894969e+02,1.106815765795913786e-01
-1.526544240400667718e+02,3.008001216880568096e-02
-1.511519198664440751e+02,6.190897927245192500e-02
-1.496494156928213783e+02,1.480967531523050273e-01
-1.481469115191986816e+02,-1.060733406658898037e-02
-1.466444073455759849e+02,9.254775440212054116e-03
-1.451419031719532882e+02,1.533102407741820383e-01
-1.436393989983305630e+02,8.842032940780680805e-02
-1.421368948247078379e+02,1.632975638853911282e-01
-1.406343906510851411e+02,1.320747403963781208e-01
-1.391318864774624444e+02,1.855505438636058657e-01
-1.376293823038397477e+02,3.367807542231163187e-02
-1.361268781302170510e+02,4.883967184370621717e-02
-1.346243739565943258e+02,8.341993225881810803e-02
-1.331218697829716291e+02,1.463645308798762756e-01
-1.316193656093489324e+02,8.793696002284201452e-02
-1.301168614357262072e+02,7.743615320496227694e-02
-1.286143572621035105e+02,1.953033058887589379e-01
-1.271118530884807996e+02,1.231138110061969493e-01
-1.256093489148581028e+02,1.356269318884473774e-01
-1.241068447412353919e+02,7.475846221727056040e-02
-1.226043405676126952e+02,1.380773316597280753e-01
-1.211018363939899984e+02,7.339361265124838551e-02
-1.195993322203673017e+02,1.750386824408300401e-01
-1.180968280467445908e+02,1.746255827293429763e-01
-1.165943238731218941e+02,6.107024491453239001e-02
-1.150918196994991973e+02,1.265560105270613911e-01
-1.135893155258765006e+02,2.040396879727484625e-01
-1.120868113522537470e+02,1.378866814231374804e-01
-1.105843071786310503e+02,1.108286170458375186e-01
-1.090818030050083394e+02,1.544486672693987095e-01
-1.075792988313856426e+02,1.168570758330705339e-01
-1.060767946577629459e+02,6.186500376234244092e-02
-1.045742904841402492e+02,3.712680360994333184e-02
-1.030717863105175383e+02,7.086371307538003039e-02
-1.015692821368948415e+02,3.926830184529792045e-02
-1.000667779632721448e+02,2.066164125360120951e-01
-9.856427378964944808e+01,1.285378333255287608e-01
-9.706176961602673714e+01,1.674371975094484655e-01
-9.555926544240404041e+01,1.031930195704316433e-01
-9.405676126878128684e+01,1.412012892733212066e-01
-9.255425709515859012e+01,3.062191411840453625e-02
-9.105175292153589339e+01,1.298387035832919145e-01
-8.954924874791318246e+01,1.119682530987021196e-01
-8.804674457429048573e+01,1.546730259049909351e-01
-8.654424040066778900e+01,5.587498183658723416e-02
-8.504173622704509228e+01,2.873925190190995682e-02
-8.353923205342239555e+01,5.335986033686607177e-02
-8.203672787979968462e+01,4.485967872435212001e-02
-8.053422370617698789e+01,1.146834995690159675e-01
-7.903171953255429116e+01,6.539778336277229931e-02
-7.752921535893159444e+01,8.450437745718547555e-03
-7.602671118530884087e+01,1.291054675318983880e-01
-7.452420701168612993e+01,-1.005149736281979456e-02
-7.302170283806343321e+01,1.428551619885514712e-01
-7.151919866444073648e+01,-4.377809869546578359e-02
-7.001669449081803975e+01,7.158813882121212169e-02
-6.851419031719532882e+01,-5.788327297616696621e-02
-6.701168614357263209e+01,-3.180553793146337349e-02
-6.550918196994993536e+01,1.217109919433018717e-01
-6.400667779632723864e+01,-1.346517552185966249e-02
-6.250417362270453481e+01,3.465257668991639228e-02
-6.100166944908183098e+01,8.839100753034012659e-03
-5.949916527545913425e+01,-4.580557594407880240e-02
-5.799666110183643042e+01,4.584074560757916972e-02
-5.649415692821368395e+01,2.625543290243859129e-02
-5.499165275459098012e+01,7.722289668667192686e-02
-5.348914858096828340e+01,5.375861403737031141e-02
-5.198664440734557957e+01,1.913294210324659184e-02
-5.048414023372288284e+01,5.984978732260609613e-02
-4.898163606010017901e+01,-1.145694814711178122e-01
-4.747913188647748228e+01,-3.015146805699381316e-02
-4.597662771285477845e+01,-9.872033813780033140e-02
-4.447412353923208173e+01,-7.808153780421925316e-02
-4.297161936560937789e+01,4.115304532995572862e-02
-4.146911519198668117e+01,-1.208794297778143789e-01
-3.996661101836397734e+01,3.309602520984536445e-02
-3.846410684474123087e+01,-3.254767985600182101e-02
-3.696160267111852704e+01,-9.818430697338648150e-03
-3.545909849749583032e+01,-1.135132501801033866e-01
-3.395659432387312648e+01,-1.562564727446327517e-01
-3.245409015025042976e+01,-4.823897945500482676e-02
-3.095158597662772593e+01,-1.131493100428948573e-02
-2.944908180300502565e+01,1.035711236978081873e-02
-2.794657762938232537e+01,-9.861544867900669253e-02
-2.644407345575962509e+01,-1.077469905387249544e-01
-2.494156928213692481e+01,-1.391177857441374954e-01
-2.343906510851422453e+01,-1.457818155582479291e-01
-2.193656093489152425e+01,-2.334754704651062496e-02
-2.043405676126877424e+01,-1.599799154641917687e-01
-1.893155258764607396e+01,-3.796133439490584349e-02
-1.742904841402337368e+01,-1.811870598691119050e-01
-1.592654424040067340e+01,-2.526027367799851819e-02
-1.442404006677797312e+01,-2.124520023757969778e-02
-1.292153589315527284e+01,-8.434818907537872112e-02
-1.141903171953257257e+01,-1.322165644447421129e-01
-9.916527545909872288e+00,-7.313272555479827242e-02
-8.414023372287172009e+00,-1.636308719519392885e-01
-6.911519198664471730e+00,-1.384333371493563503e-01
-5.409015025041771452e+00,-1.299146952869089655e-01
-3.906510851419071617e+00,-1.450887951925282360e-01
-2.404006677796320268e+00,-1.178039598537730936e-01
-9.015025041736201006e-01,-3.347577032036400113e-02
6.010016694490800671e-01,-1.435106265104005296e-02
2.103505843071780568e+00,-8.188799784317006558e-02
3.606010016694480402e+00,-1.341570900718932480e-01
5.108514190317181125e+00,-1.176110843248705934e-01
6.611018363939881404e+00,-1.350958839491722685e-01
8.113522537562580794e+00,-1.906529491959979283e-01
9.616026711185281073e+00,-3.947421724528607512e-02
1.111853088480798135e+01,-2.108580317959088402e-02
1.262103505843068163e+01,-9.458832388125161528e-02
1.412353923205338191e+01,-2.585151039714522758e-02
1.562604340567613370e+01,-9.792925937537928782e-02
1.712854757929883220e+01,-1.253436956296627436e-02
1.863105175292153248e+01,-1.338660588991468503e-01
2.013355592654423276e+01,-1.019576615078515852e-01
2.163606010016693304e+01,-1.738303928385387942e-01
2.313856427378963332e+01,-1.167294115263312615e-01
2.464106844741233360e+01,1.590213117428310174e-02
2.614357262103503388e+01,-6.350585319067625356e-02
2.764607679465773415e+01,-9.769262620357124782e-02
2.914858096828043443e+01,-8.891246518843634594e-02
3.065108514190313471e+01,-1.180542020585395868e-01
3.215358931552583499e+01,3.628860867628599940e-02
3.365609348914853882e+01,-4.852961769583269414e-02
3.515859766277128529e+01,-1.100763920307630817e-01
3.666110183639398912e+01,-1.262545522800282982e-01
3.816360601001668584e+01,-1.310945502697047349e-02
3.966611018363938967e+01,3.518228349060320559e-03
4.116861435726208640e+01,5.052709260543997161e-02
4.267111853088479023e+01,2.728114754727195557e-02
4.417362270450748696e+01,1.225192432000971055e-02
4.567612687813019079e+01,-2.814095308029668230e-02
4.717863105175288752e+01,1.400872759979099325e-02
4.868113522537559135e+01,-3.423569920105509756e-02
5.018363939899828807e+01,-3.327531272633232895e-02
5.168614357262099190e+01,1.268664840943328764e-02
5.318864774624373837e+01,-1.007097825523205203e-01
5.469115191986644220e+01,4.628601760426814815e-02
5.619365609348913893e+01,-9.081695418907580197e-02
5.769616026711184276e+01,7.166130913347162901e-02
5.919866444073453948e+01,5.708343636996343617e-02
6.070116861435724331e+01,-6.887978890652124431e-02
6.220367278797994004e+01,9.020752491057443256e-02
6.370617696160264387e+01,-2.137274785360859797e-02
6.520868113522534770e+01,6.253995948975193953e-02
6.671118530884804443e+01,-2.936656892496009030e-02
6.821368948247074115e+01,-8.144010899203191212e-03
6.971619365609343788e+01,8.295955297118257077e-02
7.121869782971619145e+01,1.192596250959579995e-01
7.272120200333890239e+01,2.444133377093266057e-02
7.422370617696159911e+01,1.894025379018848820e-02
7.572621035058429584e+01,-2.624310955002484569e-03
7.722871452420699256e+01,5.185832721682254176e-02
7.873121869782970350e+01,9.111132806961358410e-02
8.023372287145240023e+01,1.542568024448178754e-01
8.173622704507509695e+01,6.486628640868852269e-02
8.323873121869779368e+01,1.015685787974738852e-01
8.474123539232050462e+01,1.364239347278350389e-01
8.624373956594320134e+01,5.635336575541238791e-02
8.774624373956589807e+01,1.160115112746834543e-02
8.924874791318865164e+01,4.909405091373500452e-02
9.075125208681134836e+01,1.403870722117825376e-01
9.225375626043404509e+01,1.081051317217295860e-01
9.375626043405675603e+01,1.186365206243040205e-01
9.525876460767945275e+01,1.030738314963924318e-01
9.676126878130214948e+01,1.365193864394495527e-01
9.826377295492484620e+01,1.718956323136675013e-01
9.976627712854759977e+01,8.501975806734635155e-02
1.012687813021702965e+02,1.278601613564459560e-01
1.027712854757930074e+02,1.292072307240825779e-01
1.042737896494157042e+02,3.558777008549554588e-02
1.057762938230384009e+02,2.073215629387455960e-01
1.072787979966610976e+02,1.233570026628422744e-01
1.087813021702838086e+02,1.697564885859775830e-01
1.102838063439065053e+02,2.156519694086754813e-01
1.117863105175292020e+02,1.018129300869501375e-01
1.132888146911518987e+02,4.741169772182721176e-02
1.147913188647746097e+02,1.741639768493943863e-01
1.162938230383973064e+02,1.464470499402190096e-01
1.177963272120200031e+02,1.068676528062880715e-01
1.192988313856426998e+02,1.227243488498669932e-01
1.208013355592654108e+02,8.850902900307616727e-02
1.223038397328881075e+02,6.257230630636606561e-02
1.238063439065108042e+02,2.062450275072815753e-01
1.253088480801335010e+02,1.012773554339729265e-01
1.268113522537562119e+02,1.093266735482783525e-01
1.283138564273789086e+02,8.128032605285001599e-02
1.298163606010016053e+02,1.445180972573840705e-01
1.313188647746243021e+02,1.591268660974234916e-01
1.328213689482469988e+02,8.333501752415950481e-02
1.343238731218696955e+02,1.176609757192960681e-01
1.358263772954925059e+02,8.385136463990855438e-02
1.373288814691152027e+02,1.745006406853134573e-01
1.388313856427378994e+02,1.969648227614275160e-01
1.403338898163606245e+02,1.818746150772964643e-01
1.418363939899833213e+02,7.594391738035777273e-02
1.433388981636060180e+02,6.460406208816105167e-04
1.448414023372287147e+02,4.933915538094790776e-02
1.463439065108514114e+02,1.178453732243509577e-01
1.478464106844741082e+02,1.297778928229485484e-01
1.493489148580968049e+02,4.379288807998599209e-02
1.508514190317195016e+02,-1.303277898335619689e-02
1.523539232053422268e+02,4.586578047808903547e-02
1.538564273789649235e+02,-5.178503665702291481e-02
1.553589315525876202e+02,2.625950399341847596e-02
1.568614357262103169e+02,-1.711495321659339819e-02
1.583639398998330137e+02,1.206822872367517285e-01
1.598664440734557104e+02,2.889524732192527701e-02
1.613689482470784071e+02,9.056099041228637958e-02
1.628714524207011038e+02,3.543469008060662340e-02
1.643739565943238290e+02,-2.442476208393912218e-02
1.658764607679465257e+02,2.673838351801238744e-02
1.673789649415692224e+02,-2.723201052286838841e-02
1.688814691151919192e+02,-6.071878099318439581e-02
1.703839732888146159e+02,5.007606230066541375e-02
1.718864774624374263e+02,-1.313323347397593599e-01
1.733889816360601230e+02,-8.935545409079416468e-02
1.748914858096828198e+02,-7.751095576782505991e-02
1.763939899833055165e+02,-4.049708699368315123e-02
1.778964941569282132e+02,-8.644750199157685833e-02
1.793989983305509099e+02,-1.559135092733717753e-01
1.809015025041736067e+02,-1.846563169755230105e-01
1.824040066777963318e+02,-7.725715834282674555e-02
1.839065108514190285e+02,-1.545976384717016039e-01
1.854090150250417253e+02,-1.563735999007738187e-01
1.869115191986644220e+02,-5.192954949759631678e-02
1.884140233722871187e+02,-2.105540270396059066e-01
1.899165275459098154e+02,-1.075158004498950604e-01
1.914190317195325122e+02,-2.113874346994814579e-01
1.929215358931552089e+02,-1.277298708785373216e-01
1.944240400667779340e+02,-1.897495475645596397e-01
1.959265442404006308e+02,-1.308575804591596281e-01
1.974290484140233275e+02,-1.375467018361937466e-01
1.989315525876460242e+02,-1.750097348728875679e-01
2.004340567612687209e+02,-2.650921977214867331e-01
2.019365609348914177e+02,-2.402275379483339579e-01
2.034390651085141144e+02,-3.697590134740999512e-01
2.049415692821368111e+02,-2.154876832714655854e-01
2.064440734557595363e+02,-2.053703847152190121e-01
2.079465776293823183e+02,-2.208651898575836048e-01
2.094490818030050150e+02,-2.958897596923506512e-01
2.109515859766277401e+02,-3.602690509049337741e-01
2.124540901502504369e+02,-4.160566466694736731e-01
2.139565943238731336e+02,-3.033614321827716731e-01
2.154590984974958303e+02,-4.416235540232462120e-01
2.169616026711185270e+02,-4.476090767048654939e-01
2.184641068447412238e+02,-4.814748213107992170e-01
2.199666110183639205e+02,-3.518870293032568819e-01
2.214691151919866172e+02,-4.828744229695027257e-01
2.229716193656093424e+02,-3.993372851526993395e-01
2.244741235392320391e+02,-3.794330488052694572e-01
2.259766277128547358e+02,-4.336955156239969966e-01
2.274791318864774325e+02,-4.228011037529546545e-01
2.289816360601001293e+02,-5.181786654966740180e-01
2.304841402337228260e+02,-3.996358532662277474e-01
2.319866444073455227e+02,-5.908160388359275927e-01
2.334891485809682194e+02,-5.320003307890415201e-01
2.349916527545909162e+02,-4.537376564033808735e-01
2.364941569282136413e+02,-6.245629077406138485e-01
2.379966611018363380e+02,-4.522323658385067335e-01
2.394991652754590348e+02,-6.405334318139327410e-01
2.410016694490817315e+02,-5.581101815061397797e-01
2.425041736227044282e+02,-5.522547724490314280e-01
2.440066777963271250e+02,-4.966997288560074386e-01
2.455091819699499354e+02,-5.854200615450395606e-01
2.470116861435726321e+02,-5.276173959567513894e-01
2.485141903171953288e+02,-7.003313076368471446e-01
2.500166944908180255e+02,-7.005805409823619989e-01
2.515191986644407223e+02,-6.725145769485192382e-01
2.530217028380634474e+02,-5.657034958916122847e-01
2.545242070116861441e+02,-6.890944955095457125e-01
2.560267111853088409e+02,-6.407435464340895948e-01
2.575292153589315376e+02,-7.041547627512940721e-01
2.590317195325542343e+02,-7.108921108268106970e-01
2.605342237061769310e+02,-7.041542180042099641e-01
2.620367278797996278e+02,-7.653583270097896740e-01
2.635392320534223245e+02,-6.705680997269054533e-01
2.650417362270450212e+02,-7.665050095044989575e-01
2.665442404006677179e+02,-5.812374737954719706e-01
2.680467445742904147e+02,-7.789771109479055600e-01
2.695492487479131114e+02,-6.706830703962380902e-01
2.710517529215358650e+02,-7.083752627190420537e-01
2.725542570951585617e+02,-6.709399738504262523e-01
2.740567612687812584e+02,-7.011016589088279183e-01
2.755592654424039551e+02,-6.152009889657052977e-01
2.770617696160266519e+02,-6.085665873406755910e-01
2.785642737896493486e+02,-7.969318873487996058e-01
2.800667779632720453e+02,-6.760866439331085775e-01
2.815692821368948557e+02,-6.319361436057869819e-01
2.830717863105175525e+02,-6.952878485186337887e-01
2.845742904841402492e+02,-7.880406058995739205e-01
2.860767946577629459e+02,-6.236295815055623581e-01
2.875792988313856426e+02,-6.814054100387364477e-01
2.890818030050083394e+02,-6.580621594486320003e-01
2.905843071786310361e+02,-6.356516342637095196e-01
2.920868113522537328e+02,-6.128647670964237903e-01
2.935893155258764295e+02,-7.679695983358085787e-01
2.950918196994991263e+02,-6.673009259005091565e-01
2.965943238731218230e+02,-6.470136709558236277e-01
2.980968280467445197e+02,-6.203488348565955324e-01
2.995993322203672165e+02,-5.803096235118307966e-01
3.011018363939899700e+02,-6.416147112507930572e-01
3.026043405676126667e+02,-6.163926979925722360e-01
3.041068447412353635e+02,-7.377682830785396995e-01
3.056093489148580602e+02,-5.875400004760331640e-01
3.071118530884807569e+02,-5.469848925650506732e-01
3.086143572621034536e+02,-6.398704716572820583e-01
3.101168614357261504e+02,-6.738259724667474693e-01
3.116193656093488471e+02,-5.785214787559331828e-01
3.131218697829715438e+02,-6.758481561155701423e-01
3.146243739565942406e+02,-6.196612336924747222e-01
3.161268781302169373e+02,-6.299176410164120110e-01
3.176293823038396340e+02,-6.081592493293696000e-01
3.191318864774624444e+02,-4.890021107566451808e-01
3.206343906510851411e+02,-4.686711912955485171e-01
3.221368948247078379e+02,-4.928618904457090499e-01
3.236393989983305346e+02,-4.392044035495137333e-01
3.251419031719532313e+02,-4.315845200496900014e-01
3.266444073455759280e+02,-4.332117804675756911e-01
3.281469115191986248e+02,-4.735447245467441224e-01
3.296494156928213783e+02,-5.289987233344166651e-01
3.311519198664440751e+02,-4.674422795072345482e-01
3.326544240400667718e+02,-3.425784833796793327e-01
3.341569282136894685e+02,-3.272791037331607700e-01
3.356594323873121652e+02,-3.882894911298034879e-01
3.371619365609348620e+02,-2.888936219777125114e-01
3.386644407345575587e+02,-3.781019402613846614e-01
3.401669449081802554e+02,-3.412219795531563071e-01
3.416694490818029522e+02,-2.430351005380258778e-01
3.431719532554256489e+02,-3.885301679754370463e-01
3.446744574290483456e+02,-2.081643069756062558e-01
3.461769616026710423e+02,-3.478273271997099347e-01
3.476794657762937391e+02,-2.964692325694080477e-01
3.491819699499164358e+02,-2.849180605737581251e-01
3.506844741235391325e+02,-3.145101340979877813e-01
3.521869782971618292e+02,-2.903316591923805756e-01
3.536894824707845828e+02,-2.116421435800461825e-01
3.551919866444073364e+02,-1.437736626275580298e-01
3.566944908180300331e+02,-2.353494294260556063e-01
3.581969949916527298e+02,-2.464580386621537111e-02
3.596994991652754834e+02,-1.519775322536827677e-01
3.612020033388981801e+02,-1.391332996233818065e-01
3.627045075125208768e+02,-2.832239152774385094e-02
3.642070116861435736e+02,5.214355029137363040e-03
3.657095158597662703e+02,-1.144383784404504056e-02
3.672120200333889670e+02,-2.592619265390427863e-02
3.687145242070116637e+02,1.155388334889286828e-01
3.702170283806343605e+02,1.352185501405564483e-01
3.717195325542570572e+02,-2.934638305908685019e-02
3.732220367278797539e+02,1.224008249038703311e-01
3.747245409015024507e+02,1.194941067042132321e-01
3.762270450751251474e+02,1.530210145574350533e-01
3.777295492487478441e+02,6.523248002837600534e-02
3.792320534223705408e+02,2.281041340711417731e-01
3.807345575959932376e+02,1.844329973216485286e-01
3.822370617696159343e+02,2.181154935577770404e-01
3.837395659432386879e+02,3.156508429170138963e-01
3.852420701168613846e+02,1.657666049759524696e-01
3.867445742904840813e+02,3.682812814161933734e-01
3.882470784641067780e+02,3.687519598859715919e-01
3.897495826377294748e+02,3.730589283630335040e-01
3.912520868113522852e+02,4.216633557050481484e-01
3.927545909849749819e+02,4.054228840546715840e-01
3.942570951585976786e+02,4.286231793331233830e-01
3.957595993322203753e+02,3.879180700077822785e-01
3.972621035058430721e+02,4.924594023597223535e-01
3.987646076794657688e+02,3.954858162509204411e-01
4.002671118530884655e+02,5.367481191576470856e-01
4.017696160267111622e+02,4.219384106458715089e-01
4.032721202003338590e+02,5.167519546623708937e-01
4.047746243739565557e+02,4.684706748791673259e-01
4.062771285475792524e+02,6.136292548759305632e-01
4.077796327212019492e+02,5.670027094339975537e-01
4.092821368948246459e+02,5.639361809727432284e-01
4.107846410684473426e+02,4.993393744181365279e-01
4.122871452420700962e+02,6.714508736596844773e-01
4.137896494156927929e+02,6.217397800232538074e-01
4.152921535893154896e+02,5.469751945554253147e-01
4.167946577629381864e+02,6.480181429932165837e-01
4.182971619365608831e+02,6.705339121493925081e-01
4.197996661101835798e+02,7.806717555816156118e-01
4.213021702838062765e+02,7.749035930570178365e-01
4.228046744574289733e+02,7.270564195947764041e-01
4.243071786310516700e+02,7.633195730079052055e-01
4.258096828046743667e+02,7.715986718737064542e-01
4.273121869782970634e+02,7.941883856127098795e-01
4.288146911519198738e+02,8.438855437772552204e-01
4.303171953255425706e+02,8.614645394669186995e-01
4.318196994991652673e+02,7.117983886858867404e-01
4.333222036727879640e+02,7.635297358063195539e-01
4.348247078464106607e+02,7.731606603823797386e-01
4.363272120200333575e+02,8.776445826366339187e-01
4.378297161936560542e+02,7.558137192256242365e-01
4.393322203672787509e+02,7.991199161114574956e-01
4.408347245409014477e+02,7.657089620828010368e-01
4.423372287145242012e+02,8.183293330350320804e-01
4.438397328881468979e+02,8.853559858021908813e-01
4.453422370617695947e+02,9.229391972621983076e-01
4.468447412353922914e+02,8.548655544978460696e-01
4.483472454090149881e+02,9.127544762269048650e-01
4.498497495826376849e+02,9.364203756359592568e-01
4.513522537562603816e+02,8.703417467770007132e-01
4.528547579298830783e+02,9.743116724611442514e-01
4.543572621035057750e+02,9.340243420711227262e-01
4.558597662771284718e+02,9.297932297379079003e-01
4.573622704507511685e+02,9.476845766446384545e-01
4.588647746243738652e+02,9.572487049852844709e-01
4.603672787979965619e+02,8.364184540569685744e-01
4.618697829716192587e+02,9.046919117937102239e-01
4.633722871452419554e+02,9.463247401856620389e-01
4.648747913188647658e+02,9.062769618007799899e-01
4.663772954924874625e+02,8.969198353610887686e-01
4.678797996661101593e+02,9.550450095845472998e-01
4.693823038397328560e+02,7.693175138955730130e-01
4.708848080133556095e+02,9.231741951287995018e-01
4.723873121869783063e+02,8.744492769593765757e-01
4.738898163606010030e+02,8.287294686742410210e-01
4.753923205342236997e+02,9.202466013775230103e-01
