# angle (deg), sin(angle)
1.661024498886414165e+02,1.656365389898339369e-01
1.675055679287304997e+02,3.901670071925066874e-01
1.689086859688195830e+02,2.769742001789276542e-01
1.703118040089086946e+02,2.430517101084260223e-01
1.717149220489977779e+02,2.808985696869876758e-01
1.731180400890868611e+02,7.339063613198809621e-02
1.745211581291759444e+02,9.281344324108425914e-02
1.759242761692650276e+02,2.307123614659291611e-01
1.773273942093541109e+02,4.184010316393343976e-03
1.787305122494432226e+02,-1.690988428465923510e-01
1.801336302895323058e+02,4.342815970215066490e-02
1.815367483296213891e+02,8.499426394988718325e-02
1.829398663697104723e+02,-1.206847991188667174e-01
1.843429844097995556e+02,8.016364250119062396e-03
1.857461024498886388e+02,5.951841667751750498e-02
1.871492204899777505e+02,6.739811988199811976e-02
1.885523385300668338e+02,-3.005316020177051239e-01
1.899554565701559170e+02,-3.143755150225368000e-01
1.913585746102450003e+02,-1.469356719397155453e-01
1.927616926503340551e+02,-2.668325681789802672e-01
1.941648106904231383e+02,-3.327962761113794077e-01
1.955679287305122500e+02,-1.564511979358550464e-01
1.969710467706013333e+02,-4.202400603184431316e-01
1.983741648106904165e+02,-3.975437028559075658e-01
1.997772828507794998e+02,-5.276863095023323069e-01
2.011804008908685830e+02,-4.061150633108044916e-01
2.025835189309576663e+02,-3.421340435128678581e-01
2.039866369710467779e+02,-5.492137825734215717e-01
2.053897550111358612e+02,-3.034958319737178223e-01
2.067928730512249444e+02,-2.782334067618389972e-01
2.081959910913140277e+02,-5.204777156704341046e-01
2.095991091314031110e+02,-6.329842932148036505e-01
2.110022271714921942e+02,-6.169354907737543137e-01
2.124053452115813059e+02,-5.766447000710805959e-01
2.138084632516703891e+02,-5.509671234361721570e-01
2.152115812917594724e+02,-7.076792365281732167e-01
2.166146993318485556e+02,-6.859082785636333446e-01
2.180178173719376389e+02,-5.310962879364197198e-01
2.194209354120267221e+02,-4.480560661322108285e-01
2.208240534521158338e+02,-8.418118268003698113e-01
2.222271714922049171e+02,-7.860012531983444628e-01
2.236302895322940003e+02,-8.747367559472924992e-01
2.250334075723830836e+02,-5.220554754968667055e-01
2.264365256124721668e+02,-7.687959105736248411e-01
2.278396436525612501e+02,-7.957299649383569040e-01
2.292427616926503617e+02,-9.211532634762451544e-01
2.306458797327394166e+02,-7.670742569888020501e-01
2.320489977728285282e+02,-9.414928263800461661e-01
2.334521158129175831e+02,-9.465728154104138259e-01
2.348552338530066947e+02,-6.606715797817810376e-01
2.362583518930957780e+02,-9.861806055308672825e-01
2.376614699331848897e+02,-6.708842625979325458e-01
2.390645879732739445e+02,-9.820398243998813559e-01
2.404677060133630562e+02,-8.136108413868365918e-01
2.418708240534521110e+02,-8.181226053354271333e-01
2.432739420935412227e+02,-7.044869201884578214e-01
2.446770601336303059e+02,-1.006579757066018654e+00
2.460801781737194176e+02,-9.704083446385660672e-01
2.474832962138084724e+02,-9.196537939198170530e-01
2.488864142538975841e+02,-1.019869254599328645e+00
2.502895322939866389e+02,-1.126061129793408000e+00
2.516926503340757506e+02,-7.555361089169698730e-01
2.530957683741648339e+02,-1.066375134930003687e+00
2.544988864142539455e+02,-1.103742984893359758e+00
2.559020044543430004e+02,-9.707390889667000256e-01
2.573051224944321120e+02,-9.362064704636330337e-01
2.587082405345211669e+02,-9.999524313033094636e-01
2.601113585746102785e+02,-8.985291498736398541e-01
2.615144766146993334e+02,-1.118525338936015245e+00
2.629175946547884450e+02,-1.088631241020678431e+00
2.643207126948774999e+02,-1.159558920164382556e+00
2.657238307349666115e+02,-8.790638144160960454e-01
2.671269487750557232e+02,-9.174716229174069149e-01
2.685300668151448349e+02,-8.665026346942503732e-01
2.699331848552338897e+02,-8.143948976275399154e-01
2.713363028953230014e+02,-1.165987483968909277e+00
2.727394209354120562e+02,-1.093587215042725047e+00
2.741425389755011679e+02,-9.072625295212473073e-01
2.755456570155902227e+02,-8.621504836367961389e-01
2.769487750556793344e+02,-8.539041228465880096e-01
2.783518930957683892e+02,-1.062368754485817579e+00
2.797550111358575009e+02,-8.155948284875522702e-01
2.811581291759465557e+02,-1.035894730898056837e+00
2.825612472160356674e+02,-8.892531492247106595e-01
2.839643652561247791e+02,-1.140364034725086295e+00
2.853674832962138339e+02,-9.830684829377538403e-01
2.867706013363029456e+02,-1.108418390455872871e+00
2.881737193763920004e+02,-1.055328776294305992e+00
2.895768374164811121e+02,-8.706898779764944418e-01
2.909799554565701669e+02,-9.277663839943508517e-01
2.923830734966592786e+02,-9.715623428114117388e-01
2.937861915367483334e+02,-8.669577070454317358e-01
2.951893095768374451e+02,-1.015936679004709298e+00
2.965924276169264999e+02,-8.716303837517549447e-01
2.979955456570156116e+02,-6.997143135048335960e-01
2.993986636971047233e+02,-9.841941969987300087e-01
3.008017817371938349e+02,-1.024242276936821128e+00
3.022048997772828898e+02,-9.447785748175883125e-01
3.036080178173720014e+02,-8.477692952304747287e-01
3.050111358574610563e+02,-7.760999326451845093e-01
3.064142538975501679e+02,-8.968979997666157722e-01
3.078173719376392228e+02,-9.085131860039612484e-01
3.092204899777283345e+02,-9.081120636691597525e-01
3.106236080178173893e+02,-8.550427374751590204e-01
3.120267260579065010e+02,-7.268809297283422843e-01
3.134298440979955558e+02,-9.245738436239456792e-01
3.148329621380846675e+02,-6.488280646343518310e-01
3.162360801781737791e+02,-8.050202832999389102e-01
3.176391982182628340e+02,-5.221424670865620898e-01
3.190423162583519456e+02,-7.297046088613130532e-01
3.204454342984410005e+02,-7.208660309969292523e-01
3.218485523385301121e+02,-5.795185274540248788e-01
3.232516703786191670e+02,-6.012095214416885991e-01
3.246547884187082786e+02,-4.326002940375607841e-01
3.260579064587973335e+02,-4.801552560753004628e-01
3.274610244988864451e+02,-6.289097869124824491e-01
3.288641425389755000e+02,-6.350125436815097224e-01
3.302672605790646116e+02,-6.806325460698637864e-01
3.316703786191536665e+02,-2.782003574800630541e-01
3.330734966592427782e+02,-3.932933008383310836e-01
3.344766146993318898e+02,-6.295593900650046093e-01
3.358797327394210015e+02,-5.720823744448411130e-01
3.372828507795100563e+02,-5.600658174760195784e-01
3.386859688195991680e+02,-3.974629845660802019e-01
3.400890868596882228e+02,-4.528890672422848929e-01
3.414922048997773345e+02,-4.197907444115209774e-01
3.428953229398663893e+02,-2.325523019150641524e-01
3.442984409799555010e+02,-2.200941289618071339e-01
3.457015590200445558e+02,-2.113388275525229787e-01
3.471046770601336675e+02,-2.840850424123952944e-01
3.485077951002227223e+02,-1.769597303349992878e-02
3.499109131403118340e+02,-1.828377999983098467e-01
3.513140311804009457e+02,-8.552775779368210207e-02
3.527171492204900574e+02,-2.284041516872748478e-01
3.541202672605791122e+02,-3.117861719571979329e-02
3.555233853006681670e+02,-2.462914772837809241e-01
3.569265033407572787e+02,-1.455268666746049600e-01
3.583296213808463335e+02,1.304759297640187277e-01
3.597327394209354452e+02,-1.447406326607114657e-01
3.611358574610245000e+02,-1.640758203097911760e-01
3.625389755011136117e+02,1.513295132568870383e-03
3.639420935412026665e+02,1.307384087650452220e-01
3.653452115812917782e+02,2.166772032176876306e-01
3.667483296213808899e+02,2.992607612759849989e-01
3.681514476614700015e+02,8.180497656817681262e-02
3.695545657015590564e+02,1.718436586995809034e-01
3.709576837416481681e+02,1.129913780488118191e-01
3.723608017817372229e+02,3.887593260539148887e-01
3.737639198218263346e+02,4.727379866055114732e-02
3.751670378619153894e+02,2.443230064574008487e-01
3.765701559020045011e+02,1.906546295402696267e-01
3.779732739420935559e+02,2.762919791059888497e-01
3.793763919821826676e+02,1.419732136411624435e-01
3.807795100222717224e+02,5.163409432425221102e-01
3.821826280623608341e+02,5.037290378161798365e-01
3.835857461024499457e+02,2.179763394438876123e-01
3.849888641425390574e+02,4.280258717229760701e-01
3.863919821826281122e+02,4.235434446771604855e-01
3.877951002227172239e+02,5.535142587105663647e-01
3.891982182628062787e+02,5.218527600349629481e-01
3.906013363028953336e+02,3.916602526958098962e-01
3.920044543429844452e+02,6.933286385181647304e-01
3.934075723830735001e+02,4.480205756761179159e-01
3.948106904231626118e+02,5.765064430731710043e-01
3.962138084632516666e+02,4.131750433023175240e-01
3.976169265033407783e+02,5.448020909462449879e-01
3.990200445434298899e+02,7.088789762953700002e-01
4.004231625835190016e+02,6.999802792741127710e-01
4.018262806236080564e+02,5.392560951392533219e-01
4.032293986636971681e+02,5.712354032243374125e-01
4.046325167037862229e+02,5.623378668668013169e-01
4.060356347438753346e+02,7.309984890532748025e-01
4.074387527839643894e+02,7.507982872758078852e-01
4.088418708240535011e+02,7.271410262641406774e-01
4.102449888641425559e+02,6.229712341689277455e-01
4.116481069042316676e+02,9.102650388462776299e-01
4.130512249443207224e+02,7.366401076057562669e-01
4.144543429844098341e+02,6.252108279337078578e-01
4.158574610244989458e+02,8.622731826401623945e-01
4.172605790645880575e+02,8.253700856641319472e-01
4.186636971046771123e+02,9.941709406382668313e-01
4.200668151447662240e+02,1.032688218791250723e+00
4.214699331848552788e+02,9.159208505735119132e-01
4.228730512249443905e+02,9.852998599121856049e-01
4.242761692650334453e+02,1.017475923246509817e+00
4.256792873051225001e+02,7.982636169049490693e-01
4.270824053452116118e+02,8.344370918471681886e-01
4.284855233853006666e+02,9.188492650178903265e-01
4.298886414253897783e+02,9.356833796058594555e-01
4.312917594654788331e+02,1.144582954755670068e+00
4.326948775055679448e+02,1.024640048237141388e+00
4.340979955456570565e+02,1.036738091285322794e+00
4.355011135857461682e+02,9.907510869721345426e-01
4.369042316258352230e+02,1.168873916889366926e+00
4.383073496659243347e+02,9.085586828529184089e-01
4.397104677060133895e+02,1.006979176796028552e+00
4.411135857461025012e+02,1.028585205616724396e+00
4.425167037861915560e+02,9.495921681984462737e-01
4.439198218262806677e+02,1.128472245154619413e+00
4.453229398663697225e+02,1.089874075246684670e+00
4.467260579064588342e+02,1.029577486948499487e+00
4.481291759465478890e+02,1.139339836477301304e+00
4.495322939866370007e+02,8.691883612093052047e-01
4.509354120267261123e+02,1.163409076008048215e+00
4.523385300668152240e+02,9.247716533779954950e-01
4.537416481069042788e+02,1.023856214018496358e+00
4.551447661469933905e+02,1.063681149890853161e+00
4.565478841870824454e+02,9.525845485187969253e-01
4.579510022271715570e+02,9.761904235767870919e-01
4.593541202672606119e+02,8.956285721452219573e-01
4.607572383073497235e+02,1.052613850840734999e+00
4.621603563474387215e+02,9.694925524669146810e-01
4.635634743875278332e+02,9.432501382566793602e-01
4.649665924276169449e+02,1.019749898262718668e+00
4.663697104677059997e+02,1.068336428056287035e+00
4.677728285077951114e+02,8.274367249535248270e-01
4.691759465478842230e+02,8.877424280943002621e-01
4.705790645879733347e+02,8.769607162017245550e-01
4.719821826280623327e+02,8.337632995776933509e-01
4.733853006681514444e+02,1.071862181910271161e+00
4.747884187082405560e+02,1.032503433502919288e+00
4.761915367483296677e+02,8.388620243560456213e-01
4.775946547884186657e+02,1.019248796269277113e+00
4.789977728285077774e+02,9.044866139972032038e-01
4.804008908685968890e+02,6.758840672247361514e-01
4.818040089086860007e+02,7.579828681296914006e-01
4.832071269487750556e+02,9.822783544191493466e-01
4.846102449888641672e+02,7.115308211159478979e-01
4.860133630289532789e+02,8.236629951650615844e-01
4.874164810690423906e+02,7.683249041586504013e-01
4.888195991091313886e+02,7.127168385060842493e-01
4.902227171492205002e+02,8.101806220703018369e-01
4.916258351893096119e+02,9.413474236325394262e-01
4.930289532293986099e+02,5.481561897296516328e-01
4.944320712694877216e+02,7.366392956127723046e-01
4.958351893095768332e+02,6.128053947490743614e-01
4.972383073496658881e+02,8.714463368466065507e-01
4.986414253897549997e+02,7.219684054451858124e-01
5.000445434298441114e+02,7.468645331744778737e-01
5.014476614699332231e+02,5.067637999610907773e-01
5.028507795100222211e+02,4.341247768001705309e-01
5.042538975501113327e+02,7.123812851959911985e-01
5.056570155902004444e+02,5.293679474034571619e-01
5.070601336302895561e+02,5.316175695978138105e-01
5.084632516703785541e+02,5.888224123192409287e-01
5.098663697104676658e+02,5.561071493024349888e-01
5.112694877505567774e+02,6.379819560258881417e-01
5.126726057906458891e+02,5.536473389346292517e-01
5.140757238307348871e+02,4.472757752588304991e-01
5.154788418708239988e+02,2.416065456129737332e-01
5.168819599109131104e+02,5.897309886370625254e-01
5.182850779510022221e+02,4.282265655835863494e-01
5.196881959910912201e+02,1.965712485936680909e-01
5.210913140311803318e+02,1.664440299458991857e-01
5.224944320712694434e+02,1.094790101272214433e-01
5.238975501113586688e+02,4.382646296966184463e-01
5.253006681514476668e+02,2.709699029543564675e-01
5.267037861915367785e+02,3.007951858420600533e-01
5.281069042316258901e+02,1.553578649189924499e-01
5.295100222717150018e+02,3.637065579809562466e-01
5.309131403118039998e+02,2.267911064301054158e-01
5.323162583518931115e+02,5.186603287052998779e-02
5.337193763919822231e+02,1.520124958048483244e-01
5.351224944320712211e+02,5.454716542534893131e-02
5.365256124721603328e+02,1.334067897496930555e-01
5.379287305122494445e+02,2.080502964620639106e-01
5.393318485523385561e+02,5.880954797109066989e-02
5.407349665924275541e+02,-2.073814961877772645e-01
5.421380846325166658e+02,-2.948589003751467263e-02
5.435412026726057775e+02,5.182346012862570905e-02
5.449443207126948892e+02,-1.535471038943115318e-01
5.463474387527838871e+02,-6.190425916964192865e-02
5.477505567928729988e+02,1.482047931437524557e-03
5.491536748329621105e+02,-1.941063807230442029e-02
5.505567928730512222e+02,-5.727231854585149162e-02
5.519599109131402201e+02,-1.894564750283029841e-01
5.533630289532293318e+02,-1.620154836476119797e-01
5.547661469933184435e+02,-9.799133508175467133e-02
5.561692650334075552e+02,-3.704290243280363160e-01
5.575723830734966668e+02,-2.032847639596160327e-01
5.589755011135857785e+02,-2.121523896485517091e-01
5.603786191536748902e+02,-4.697213296467568355e-01
5.617817371937640019e+02,-1.797627793203879776e-01
5.631848552338529998e+02,-5.436162263363270020e-01
5.645879732739421115e+02,-5.374944705983655258e-01
5.659910913140312232e+02,-5.585112180850477781e-01
5.673942093541203349e+02,-5.248156407189656925e-01
5.687973273942093329e+02,-5.192726391048944068e-01
5.702004454342984445e+02,-4.692236894172525097e-01
5.716035634743875562e+02,-3.791664488023622215e-01
5.730066815144765542e+02,-6.070330201426625827e-01
5.744097995545656659e+02,-6.438019530897183262e-01
5.758129175946547775e+02,-4.226474715110379865e-01
5.772160356347438892e+02,-4.448010763210389351e-01
5.786191536748328872e+02,-7.182939437346054223e-01
5.800222717149219989e+02,-6.023244311418309849e-01
5.814253897550111105e+02,-5.328730159809875744e-01
5.828285077951002222e+02,-8.063256844072443918e-01
5.842316258351892202e+02,-5.656518506139598390e-01
5.856347438752783319e+02,-6.010930267905678637e-01
5.870378619153674435e+02,-6.269816511897708944e-01
5.884409799554565552e+02,-6.807210085510920772e-01
5.898440979955456669e+02,-6.396592250437747040e-01
5.912472160356347786e+02,-6.247866918190658758e-01
5.926503340757238902e+02,-7.640122205285817536e-01
5.940534521158130019e+02,-7.919482169484008960e-01
5.954565701559019999e+02,-7.769197793481885661e-01
5.968596881959911116e+02,-6.602551382568846439e-01
5.982628062360802232e+02,-8.704961829474615609e-01
5.996659242761693349e+02,-8.270115678074723142e-01
6.010690423162583329e+02,-7.427911364464128141e-01
6.024721603563474446e+02,-1.078050061303599705e+00
6.038752783964365562e+02,-1.072649176264598658e+00
6.052783964365255542e+02,-1.082453694593121796e+00
6.066815144766146659e+02,-9.664775250917658767e-01
6.080846325167037776e+02,-1.030794698192336822e+00
6.094877505567928893e+02,-1.034794827396480654e+00
6.108908685968818872e+02,-8.292684319522714009e-01
6.122939866369709989e+02,-8.001008250931469501e-01
6.136971046770601106e+02,-1.152417041660337871e+00
6.151002227171492223e+02,-8.379486159986455629e-01
6.165033407572382202e+02,-1.131046087627080476e+00
6.179064587973273319e+02,-8.280758118507789423e-01
6.193095768374164436e+02,-1.118078443778584674e+00
6.207126948775055553e+02,-1.166418881474979852e+00
6.221158129175946669e+02,-8.278426728088441600e-01
6.235189309576837786e+02,-8.169712355963960615e-01
6.249220489977728903e+02,-1.085076892384128744e+00
6.263251670378620020e+02,-9.998821188767985646e-01
6.277282850779509999e+02,-1.022348950653453103e+00
6.291314031180401116e+02,-1.001274985254000160e+00
6.305345211581292233e+02,-9.447487556978169110e-01
6.319376391982183350e+02,-1.193308504686561466e+00
6.333407572383073330e+02,-1.099683051189289884e+00
6.347438752783964446e+02,-9.354664484177108719e-01
6.361469933184855563e+02,-8.537319906168741035e-01
6.375501113585746680e+02,-9.242778250716914279e-01
6.389532293986636660e+02,-1.053049878174781240e+00
6.403563474387527776e+02,-8.395817630439617041e-01
6.417594654788418893e+02,-1.060176966788799247e+00
6.431625835189308873e+02,-1.159477886178462480e+00
6.445657015590199990e+02,-9.864656375855034298e-01
6.459688195991091106e+02,-8.536538877553414562e-01
6.473719376391982223e+02,-9.178252827323725160e-01
6.487750556792872203e+02,-7.705178761331499260e-01
6.501781737193763320e+02,-8.542132377128535126e-01
6.515812917594654436e+02,-1.036804713598746375e+00
6.529844097995545553e+02,-8.693245065250039261e-01
6.543875278396436670e+02,-1.083648573144122995e+00
6.557906458797327787e+02,-1.051442902008717484e+00
6.571937639198218903e+02,-7.351560489021047307e-01
6.585968819599110020e+02,-9.731034542014700417e-01
6.600000000000000000e+02,-9.380205190152894890e-01
